* Top 60,000 lemmas, with word forms for each lemma
* This word frequency data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete word frequency data from COCA, please see https://www.wordfrequency.info
* For instructions on using this file in Excel, see https://www.wordfrequency.info/freqTxtToExcel.pdf
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp
----- Before converting file to Excel, remove the first eight lines, with the first line being the one starting with "rank"

lemRank	lemma	PoS	lemFreq	wordFreq	word
26276	joblessness	n	521	521	joblessness
26277	understudy	n	521	443	understudy
26277	understudy	n	521	78	understudies
26278	mash-up	n	521	281	mash-up
26278	mash-up	n	521	240	mashup
26279	ginseng	n	521	521	ginseng
26280	goings-on	n	521	521	goings-on
26281	albedo	n	521	521	albedo
26282	bewitch	v	521	315	bewitched
26282	bewitch	v	521	134	bewitching
26282	bewitch	v	521	58	bewitch
26282	bewitch	v	521	14	bewitches
26283	cell-phone	n	521	521	cell-phone
26284	motherland	n	521	514	motherland
26284	motherland	n	521	7	motherlands
26285	disenfranchisement	n	521	521	disenfranchisement
26286	exerciser	n	521	382	exercisers
26286	exerciser	n	521	139	exerciser
26287	fifteen-year-old	j	521	521	fifteen-year-old
26288	pirate	v	521	286	pirated
26288	pirate	v	521	176	pirating
26288	pirate	v	521	59	pirate
26289	cage	v	521	380	caged
26289	cage	v	521	97	caging
26289	cage	v	521	44	cage
26290	rogue	j	520	520	rogue
26291	finery	n	520	506	finery
26291	finery	n	520	14	fineries
26292	deep-sky	j	520	493	deep-sky
26292	deep-sky	j	520	27	deepsky
26293	concretely	r	520	520	concretely
26294	snafu	n	520	344	snafu
26294	snafu	n	520	176	snafus
26295	epithelium	n	520	520	epithelium
26296	ergonomics	n	520	520	ergonomics
26297	quay	n	520	440	quay
26297	quay	n	520	80	quays
26298	agave	n	520	438	agave
26298	agave	n	520	82	agaves
26299	skeptically	r	520	520	skeptically
26300	acoustical	j	520	520	acoustical
26301	unassailable	j	520	520	unassailable
26302	ill-equipped	j	520	520	ill-equipped
26303	third-place	j	520	520	third-place
26304	shakedown	n	520	455	shakedown
26304	shakedown	n	520	65	shakedowns
26305	tripartite	j	520	501	tripartite
26305	tripartite	j	520	19	tri-partite
26306	topographical	j	520	520	topographical
26307	knuckle	v	520	213	knuckles
26307	knuckle	v	520	174	knuckle
26307	knuckle	v	520	76	knuckled
26307	knuckle	v	520	57	knuckling
26308	remodel	n	520	469	remodel
26308	remodel	n	520	51	remodels
26309	Gaelic	j	520	520	gaelic
26310	superconductor	n	520	282	superconductors
26310	superconductor	n	520	238	superconductor
26311	surrealist	j	520	520	surrealist
26312	wane	n	519	317	wane
26312	wane	n	519	202	wanes
26313	levity	n	519	519	levity
26314	leisurely	r	519	519	leisurely
26315	well-equipped	j	519	519	well-equipped
26316	whisperer	n	519	486	whisperer
26316	whisperer	n	519	33	whisperers
26317	imbed	v	519	467	imbedded
26317	imbed	v	519	32	imbed
26317	imbed	v	519	20	imbedding
26318	unscheduled	j	519	519	unscheduled
26319	uppity	j	519	519	uppity
26320	sixty-three	m	519	519	sixty-three
26321	mowing	n	519	507	mowing
26321	mowing	n	519	12	mowings
26322	moocher	n	519	364	moochers
26322	moocher	n	519	155	moocher
26323	auger	n	519	453	auger
26323	auger	n	519	66	augers
26324	soapbox	n	519	500	soapbox
26324	soapbox	n	519	19	soapboxes
26325	stylistically	r	519	519	stylistically
26326	portent	n	519	299	portent
26326	portent	n	519	220	portents
26327	driller	n	519	351	drillers
26327	driller	n	519	168	driller
26328	dose	v	519	411	dosed
26328	dose	v	519	108	dosing
26329	roadster	n	519	449	roadster
26329	roadster	n	519	70	roadsters
26330	cranium	n	518	487	cranium
26330	cranium	n	518	31	craniums
26331	parametric	j	518	518	parametric
26332	oversimplification	n	518	399	oversimplification
26332	oversimplification	n	518	54	over-simplification
26332	oversimplification	n	518	54	oversimplifications
26332	oversimplification	n	518	11	over-simplifications
26333	scepter	n	518	485	scepter
26333	scepter	n	518	33	scepters
26334	typist	n	518	355	typist
26334	typist	n	518	163	typists
26335	thoughtfulness	n	518	518	thoughtfulness
26336	electrified	j	518	518	electrified
26337	tug-of-war	n	518	518	tug-of-war
26338	high-rise	n	517	478	high-rises
26338	high-rise	n	517	39	highrises
26339	Kenyan	n	517	459	kenyans
26339	Kenyan	n	517	58	kenyan
26340	five-hour	j	517	517	five-hour
26341	fleck	v	517	494	flecked
26341	fleck	v	517	23	flecking
26342	synch	n	517	517	synch
26343	Gaussian	j	517	517	gaussian
26344	vertical	n	517	260	vertical
26344	vertical	n	517	257	verticals
26345	waterworks	n	517	516	waterworks
26346	serenade	v	517	258	serenaded
26346	serenade	v	517	154	serenading
26346	serenade	v	517	74	serenade
26346	serenade	v	517	31	serenades
26347	moralist	n	517	284	moralists
26347	moralist	n	517	233	moralist
26348	bioterrorism	n	517	517	bioterrorism
26349	favela	n	517	284	favelas
26349	favela	n	517	233	favela
26350	prow	n	517	487	prow
26350	prow	n	517	30	prows
26351	demilitarized	j	517	517	demilitarized
26352	detachable	j	517	517	detachable
26353	commodification	n	517	517	commodification
26354	softening	n	517	517	softening
26355	diluted	j	517	517	diluted
26356	dutch	n	517	517	dutch
26357	preterm	j	517	517	preterm
26358	pantomime	n	517	439	pantomime
26358	pantomime	n	517	78	pantomimes
26359	collate	v	517	206	collated
26359	collate	v	517	144	collating
26359	collate	v	517	137	collate
26359	collate	v	517	30	collates
26360	midshipman	n	517	277	midshipmen
26360	midshipman	n	517	240	midshipman
26361	brick-and-mortar	j	517	517	brick-and-mortar
26362	bodybuilding	n	516	451	bodybuilding
26362	bodybuilding	n	516	65	body-building
26363	booked	j	516	516	booked
26364	Oregonian	j	516	516	oregonian
26365	nuptials	n	516	516	nuptials
26366	dub	n	516	410	dub
26366	dub	n	516	106	dubs
26367	reassuringly	r	516	516	reassuringly
26368	entrap	v	516	227	entrapped
26368	entrap	v	516	221	entrap
26368	entrap	v	516	47	entrapping
26368	entrap	v	516	21	entraps
26369	denuclearization	n	516	516	denuclearization
26370	programmed	j	516	516	programmed
26371	dare	n	516	516	dare
26372	birder	n	516	358	birders
26372	birder	n	516	158	birder
26373	mortgage-backed	j	516	516	mortgage-backed
26374	baldness	n	516	516	baldness
26375	wide-angle	j	516	502	wide-angle
26375	wide-angle	j	516	14	wideangle
26376	insolent	j	516	516	insolent
26377	eke	v	516	456	eke
26377	eke	v	516	60	ekes
26378	second-highest	j	516	516	second-highest
26379	segmented	j	516	516	segmented
26380	kamikaze	n	516	445	kamikaze
26380	kamikaze	n	516	71	kamikazes
26381	yelling	n	516	516	yelling
26382	yore	n	516	516	yore
26383	yoo-hoo	u	515	515	yoo-hoo
26384	incriminate	v	515	340	incriminate
26384	incriminate	v	515	75	incriminated
26384	incriminate	v	515	67	incriminating
26384	incriminate	v	515	33	incriminates
26385	remorseful	j	515	515	remorseful
26386	knockdown	n	515	444	knockdown
26386	knockdown	n	515	71	knockdowns
26387	four-legged	j	515	515	four-legged
26388	theocratic	j	515	515	theocratic
26389	teste	n	515	504	testes
26389	teste	n	515	11	teste
26390	lira	n	515	496	lira
26390	lira	n	515	19	liras
26391	Grinch	n	515	494	grinch
26391	Grinch	n	515	21	grinches
26392	wallflower	n	515	352	wallflower
26392	wallflower	n	515	163	wallflowers
26393	lynx	n	515	494	lynx
26393	lynx	n	515	21	lynxes
26394	non-disclosure	n	515	285	non-disclosure
26394	non-disclosure	n	515	230	nondisclosure
26395	quintessentially	r	515	515	quintessentially
26396	sate	v	515	348	sated
26396	sate	v	515	140	sate
26396	sate	v	515	27	sating
26397	pleat	n	515	401	pleats
26397	pleat	n	515	114	pleat
26398	port	v	515	271	ported
26398	port	v	515	165	porting
26398	port	v	515	76	port
26399	permeable	j	515	515	permeable
26400	slick	v	515	462	slicked
26400	slick	v	515	53	slicking
26401	sojourner	n	515	329	sojourner
26401	sojourner	n	515	186	sojourners
26402	smelter	n	515	320	smelter
26402	smelter	n	515	195	smelters
26403	discolored	j	515	515	discolored
26404	dynamical	j	515	515	dynamical
26405	pre-nup	n	515	365	prenup
26405	pre-nup	n	515	109	pre-nup
26405	pre-nup	n	515	41	prenups
26406	crackhead	n	515	336	crackhead
26406	crackhead	n	515	179	crackheads
26407	restlessly	r	515	515	restlessly
26408	riverfront	n	515	515	riverfront
26409	ooze	n	515	480	ooze
26409	ooze	n	515	35	oozes
26410	opened	j	515	515	opened
26411	overvalue	v	515	405	overvalued
26411	overvalue	v	515	59	overvalue
26411	overvalue	v	515	31	overvaluing
26411	overvalue	v	515	20	overvalues
26412	blood-red	j	515	454	blood-red
26412	blood-red	j	515	61	bloodred
26413	bracing	j	515	515	bracing
26414	rumple	v	514	482	rumpled
26414	rumple	v	514	18	rumpling
26414	rumple	v	514	14	rumple
26415	outboard	n	514	260	outboards
26415	outboard	n	514	254	outboard
26416	restive	j	514	514	restive
26417	disburse	v	514	299	disbursed
26417	disburse	v	514	143	disburse
26417	disburse	v	514	72	disbursing
26418	defilement	n	514	287	defilement
26418	defilement	n	514	227	defilements
26419	protectorate	n	514	456	protectorate
26419	protectorate	n	514	58	protectorates
26420	moisturizing	j	514	514	moisturizing
26421	anorexic	j	514	514	anorexic
26422	gonorrhea	n	514	514	gonorrhea
26423	serendipitous	j	514	514	serendipitous
26424	lawnmower	n	514	419	lawnmower
26424	lawnmower	n	514	95	lawnmowers
26425	instigator	n	514	347	instigator
26425	instigator	n	514	167	instigators
26426	jealously	r	514	514	jealously
26427	fossilized	j	514	514	fossilized
26428	staggered	j	514	514	staggered
26429	kooky	j	514	494	kooky
26429	kooky	j	514	12	kookier
26429	kooky	j	514	8	kookiest
26430	trimmer	n	514	350	trimmer
26430	trimmer	n	514	164	trimmers
26431	wraparound	j	514	405	wraparound
26431	wraparound	j	514	96	wrap-around
26431	wraparound	j	514	13	wraparounds
26432	effusive	j	513	513	effusive
26433	emboss	v	513	441	embossed
26433	emboss	v	513	57	embossing
26433	emboss	v	513	15	emboss
26434	itemize	v	513	256	itemize
26434	itemize	v	513	164	itemized
26434	itemize	v	513	61	itemizing
26434	itemize	v	513	32	itemizes
26435	hunger	v	513	188	hungered
26435	hunger	v	513	178	hunger
26435	hunger	v	513	116	hungering
26435	hunger	v	513	31	hungers
26436	whey	n	513	513	whey
26437	life-giving	j	513	513	life-giving
26438	harlequin	n	513	501	harlequin
26438	harlequin	n	513	12	harlequins
26439	male-female	j	513	513	male-female
26440	Maltese	j	513	509	maltese
26441	motorcyclist	n	513	281	motorcyclist
26441	motorcyclist	n	513	232	motorcyclists
26442	biweekly	r	513	513	biweekly
26443	fee-for-service	j	513	513	fee-for-service
26444	conserved	j	513	513	conserved
26445	slippage	n	513	482	slippage
26445	slippage	n	513	31	slippages
26446	esthetic	j	513	513	esthetic
26447	famished	j	513	513	famished
26448	rethinking	n	513	476	rethinking
26448	rethinking	n	513	37	re-thinking
26449	opulence	n	513	513	opulence
26450	samba	n	513	487	samba
26450	samba	n	513	26	sambas
26451	phage	n	513	265	phage
26451	phage	n	513	248	phages
26452	phenomenally	r	513	513	phenomenally
26453	militaristic	j	513	513	militaristic
26454	military-industrial	j	512	512	military-industrial
26455	misidentify	v	512	419	misidentified
26455	misidentify	v	512	43	misidentify
26455	misidentify	v	512	30	misidentifying
26455	misidentify	v	512	20	misidentifies
26456	phenomenology	n	512	512	phenomenology
26457	round-trip	n	512	306	round-trip
26457	round-trip	n	512	178	roundtrip
26457	round-trip	n	512	28	round-trips
26458	Drag	n	512	492	drag
26458	Drag	n	512	20	drags
26459	coliform	j	512	512	coliform
26460	clod	n	512	266	clods
26460	clod	n	512	246	clod
26461	contusion	n	512	302	contusions
26461	contusion	n	512	210	contusion
26462	right-handed	r	512	512	right-handed
26463	striking	n	512	512	striking
26464	sun	v	512	318	sunning
26464	sun	v	512	148	sun
26464	sun	v	512	46	sunned
26465	posterior	n	512	456	posterior
26465	posterior	n	512	56	posteriors
26466	fen	n	512	410	fen
26466	fen	n	512	102	fens
26467	biochemist	n	512	407	biochemist
26467	biochemist	n	512	105	biochemists
26468	assiduously	r	512	512	assiduously
26469	marinated	j	512	512	marinated
26470	six-hour	j	512	512	six-hour
26471	hadith	n	512	422	hadith
26471	hadith	n	512	90	hadiths
26472	weathering	n	512	512	weathering
26473	weasel	v	512	426	weasel
26473	weasel	v	512	43	weaseling
26473	weasel	v	512	43	weaseled
26474	growing	n	512	512	growing
26475	underhanded	j	512	512	underhanded
26476	insubordination	n	512	512	insubordination
26477	inhabited	j	512	512	inhabited
26478	thirteen-year-old	j	512	512	thirteen-year-old
26479	tenfold	r	512	512	tenfold
26480	teem	v	512	189	teems
26480	teem	v	512	179	teemed
26480	teem	v	512	144	teem
26481	taxicab	n	512	376	taxicab
26481	taxicab	n	512	136	taxicabs
26482	spiked	j	512	512	spiked
26483	refract	v	512	248	refracted
26483	refract	v	512	107	refracting
26483	refract	v	512	86	refract
26483	refract	v	512	71	refracts
26484	hibiscus	n	511	511	hibiscus
26485	free-wheeling	j	511	318	freewheeling
26485	free-wheeling	j	511	193	free-wheeling
26486	supervising	j	511	511	supervising
26487	egret	n	511	305	egrets
26487	egret	n	511	206	egret
26488	separatism	n	511	511	separatism
26489	Thai	n	511	511	thai
26490	unpaved	j	511	511	unpaved
26491	unsanitary	j	511	511	unsanitary
26492	greenback	n	511	267	greenbacks
26492	greenback	n	511	244	greenback
26493	wag	n	511	346	wag
26493	wag	n	511	165	wags
26494	willy-nilly	r	511	511	willy-nilly
26495	silencing	n	511	511	silencing
26496	bandy	v	511	454	bandied
26496	bandy	v	511	57	bandying
26497	banishment	n	511	511	banishment
26498	nag	n	511	380	nag
26498	nag	n	511	131	nags
26499	Celt	n	511	418	celts
26499	Celt	n	511	93	celt
26500	desirous	j	511	511	desirous
26501	slight	v	511	340	slighted
26501	slight	v	511	81	slighting
26501	slight	v	511	53	slight
26501	slight	v	511	37	slights
26502	snub	n	511	413	snub
26502	snub	n	511	98	snubs
26503	downcast	j	511	511	downcast
26504	rucksack	n	511	416	rucksack
26504	rucksack	n	511	95	rucksacks
26505	brawny	j	511	482	brawny
26505	brawny	j	511	19	brawnier
26505	brawny	j	511	10	brawniest
26506	burro	n	510	315	burro
26506	burro	n	510	195	burros
26507	dorky	j	510	510	dorky
26508	softener	n	510	402	softener
26508	softener	n	510	108	softeners
26509	slapping	j	510	510	slapping
26510	disorient	v	510	448	disorienting
26510	disorient	v	510	62	disoriented
26511	screened	j	510	510	screened
26512	charlie	n	510	510	charlie
26513	allocated	j	510	510	allocated
26514	wild-eyed	j	510	510	wild-eyed
26515	whosoever	p	510	510	whosoever
26516	well-publicized	j	510	510	well-publicized
26517	weakling	n	510	334	weakling
26517	weakling	n	510	176	weaklings
26518	upper-middle-class	j	510	510	upper-middle-class
26519	unwell	j	510	510	unwell
26520	self-effacing	j	510	501	self-effacing
26520	self-effacing	j	510	9	selfeffacing
26521	surety	n	510	465	surety
26521	surety	n	510	45	sureties
26522	transvestite	n	510	330	transvestite
26522	transvestite	n	510	180	transvestites
26523	junket	n	509	308	junket
26523	junket	n	509	201	junkets
26524	hematoma	n	509	431	hematoma
26524	hematoma	n	509	78	hematomas
26525	redeploy	v	509	236	redeploy
26525	redeploy	v	509	181	redeployed
26525	redeploy	v	509	92	redeploying
26526	writer-director	n	509	509	writer-director
26527	freeloader	n	509	372	freeloaders
26527	freeloader	n	509	137	freeloader
26528	selfhood	n	509	493	selfhood
26528	selfhood	n	509	16	self-hood
26529	steelworker	n	509	346	steelworkers
26529	steelworker	n	509	163	steelworker
26530	imp	n	509	339	imp
26530	imp	n	509	170	imps
26531	uncounted	j	509	509	uncounted
26532	jolly	r	509	509	jolly
26533	intron	n	509	290	introns
26533	intron	n	509	219	intron
26534	hogan	n	509	487	hogan
26534	hogan	n	509	22	hogans
26535	hairstylist	n	509	441	hairstylist
26535	hairstylist	n	509	68	hairstylists
26536	set-top	j	509	509	set-top
26537	late-season	j	509	509	late-season
26538	sinew	n	509	317	sinew
26538	sinew	n	509	192	sinews
26539	singer/songwriter	n	509	509	singer/songwriter
26540	accommodating	j	509	509	accommodating
26541	associative	j	509	509	associative
26542	pedantic	j	509	509	pedantic
26543	reachable	j	509	509	reachable
26544	solder	v	509	183	soldering
26544	solder	v	509	154	soldered
26544	solder	v	509	151	solder
26544	solder	v	509	21	solders
26545	extrovert	n	509	220	extrovert
26545	extrovert	n	509	186	extroverts
26545	extrovert	n	509	103	extroverted
26546	misdirect	v	509	336	misdirected
26546	misdirect	v	509	101	misdirect
26546	misdirect	v	509	51	misdirecting
26546	misdirect	v	509	21	misdirects
26547	brain-dead	j	509	509	brain-dead
26548	corroboration	n	509	503	corroboration
26548	corroboration	n	509	6	corroborations
26549	cowl	n	509	476	cowl
26549	cowl	n	509	33	cowls
26550	retry	v	508	295	retry
26550	retry	v	508	146	retried
26550	retry	v	508	42	retrying
26550	retry	v	508	25	retries
26551	brushstroke	n	508	370	brushstrokes
26551	brushstroke	n	508	120	brushstroke
26551	brushstroke	n	508	11	brush-strokes
26551	brushstroke	n	508	7	brush-stroke
26552	pitched	j	508	508	pitched
26553	equanimity	n	508	508	equanimity
26554	ecumenism	n	508	508	ecumenism
26555	earthenware	n	508	498	earthenware
26555	earthenware	n	508	10	earthenwares
26556	mote	n	508	302	motes
26556	mote	n	508	206	mote
26557	catacomb	n	508	435	catacombs
26557	catacomb	n	508	73	catacomb
26558	goner	n	508	439	goner
26558	goner	n	508	69	goners
26559	alphabetically	r	508	508	alphabetically
26560	nationhood	n	508	508	nationhood
26561	Benedictine	j	508	508	benedictine
26562	mandolin	n	508	450	mandolin
26562	mandolin	n	508	58	mandolins
26563	viceroy	n	508	458	viceroy
26563	viceroy	n	508	50	viceroys
26564	teardrop	n	508	342	teardrop
26564	teardrop	n	508	166	teardrops
26565	therefor	r	508	508	therefor
26566	inquiring	j	508	508	inquiring
26567	unattached	j	508	508	unattached
26568	isthmus	n	508	508	isthmus
26569	immensity	n	508	487	immensity
26569	immensity	n	508	21	immensities
26570	formless	j	508	508	formless
26571	four-letter	j	508	508	four-letter
26572	reprocessing	n	508	508	reprocessing
26573	knell	n	508	503	knell
26573	knell	n	508	5	knells
26574	tithe	n	508	328	tithe
26574	tithe	n	508	180	tithes
26575	infirm	j	507	507	infirm
26576	indicted	j	507	507	indicted
26577	suspenseful	j	507	507	suspenseful
26578	steamship	n	507	403	steamship
26578	steamship	n	507	104	steamships
26579	flange	n	507	337	flange
26579	flange	n	507	170	flanges
26580	self-promotion	n	507	507	self-promotion
26581	intranet	n	507	387	intranet
26581	intranet	n	507	120	intranets
26582	bedsheet	n	507	291	bedsheets
26582	bedsheet	n	507	216	bedsheet
26583	loony	n	507	255	loony
26583	loony	n	507	252	loonies
26584	signpost	n	507	263	signposts
26584	signpost	n	507	244	signpost
26585	slack	v	507	325	slacking
26585	slack	v	507	136	slacked
26585	slack	v	507	46	slack
26586	anarchic	j	507	507	anarchic
26587	re-emergence	n	507	265	reemergence
26587	re-emergence	n	507	242	re-emergence
26588	soap	v	507	278	soap
26588	soap	v	507	106	soaped
26588	soap	v	507	83	soaping
26588	soap	v	507	40	soaps
26589	pelagic	j	507	507	pelagic
26590	misdirection	n	507	478	misdirection
26590	misdirection	n	507	29	misdirections
26591	bunk	v	506	248	bunk
26591	bunk	v	506	138	bunking
26591	bunk	v	506	109	bunked
26591	bunk	v	506	11	bunks
26592	blurring	n	506	498	blurring
26592	blurring	n	506	8	blurrings
26593	dowel	n	506	348	dowel
26593	dowel	n	506	158	dowels
26594	ruthlessness	n	506	506	ruthlessness
26595	sacrilege	n	506	506	sacrilege
26596	roadie	n	506	318	roadie
26596	roadie	n	506	188	roadies
26597	clean-cut	j	506	506	clean-cut
26598	christening	n	506	447	christening
26598	christening	n	506	59	christenings
26599	science-based	j	506	506	science-based
26600	debauchery	n	506	506	debauchery
26601	Eritrean	j	506	506	eritrean
